molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,pIC50,Classification
CHEMBL3978533,COc1ccc(/C=C/C(=O)Nc2ccc(CN(C)Cc3ccccc3)cc2)cc1,IC50,=,5760,nM,386.495,4.9791,1,3,5.239577517,0
CHEMBL3919086,COc1cccc(/C=C/C(=O)Nc2ccc(CN(C)Cc3ccccc3)cc2)c1,IC50,=,4670,nM,386.495,4.9791,1,3,5.330683119,0
CHEMBL3945872,COc1cc(/C=C/C(=O)Nc2cccc(CN(C)Cc3ccccc3)c2)ccc1O,IC50,=,5990,nM,402.494,4.6847,2,4,5.222573178,0
CHEMBL3917990,COc1ccc(/C=C/C(=O)Nc2ccc(CN(C)Cc3ccccc3)cc2)cc1OC,IC50,=,3980,nM,416.521,4.9877,1,4,5.400116928,0
CHEMBL3936989,COc1ccc(/C=C/C(=O)Nc2ccc(CN(C)Cc3ccccc3)cc2)c(OC)c1,IC50,=,8730,nM,416.521,4.9877,1,4,5.058985756,0
CHEMBL3818992,O=C(/C=C/c1ccc(O)c(O)c1)NCCC1CCN(Cc2ccccc2)CC1,IC50,=,1750,nM,380.488,3.5295,3,4,5.756961951,0
CHEMBL3965783,O=C(/C=C/c1ccc(O)cc1O)NCCC1CCN(Cc2ccccc2)CC1,IC50,=,990,nM,380.488,3.5295,3,4,6.004364805,0
CHEMBL3819320,O=C(/C=C/c1ccc(O)cc1)NCCC1CCN(Cc2ccccc2)CC1,IC50,=,1010,nM,364.489,3.8239,2,3,5.995678626,0
CHEMBL3892044,O=C(/C=C/c1cccc(O)c1)NCCC1CCN(Cc2ccccc2)CC1,IC50,=,1120,nM,364.489,3.8239,2,3,5.950781977,0
CHEMBL3818089,COc1cc(/C=C/C(=O)NCCC2CCN(Cc3ccccc3)CC2)ccc1O,IC50,=,390,nM,394.515,3.8325,2,4,6.408935393,0
CHEMBL3916769,COc1ccc(/C=C/C(=O)NCCC2CCN(Cc3ccccc3)CC2)c(OC)c1,IC50,=,630,nM,408.542,4.1355,1,4,6.200659451,0
CHEMBL3905695,COc1ccc(/C=C/C(=O)NCCC2CCN(Cc3ccccc3)CC2)cc1,IC50,=,490,nM,378.516,4.1269,1,3,6.30980392,0
CHEMBL3818512,COc1cccc(/C=C/C(=O)NCCC2CCN(Cc3ccccc3)CC2)c1,IC50,=,750,nM,378.516,4.1269,1,3,6.124938737,0
CHEMBL3818689,COc1ccc(/C=C/C(=O)NCCC2CCN(Cc3ccccc3)CC2)cc1OC,IC50,=,260,nM,408.542,4.1355,1,4,6.585026652,0
CHEMBL3931517,O=C(COc1ccccc1)N1CCN(C2CCN(Cc3ccccc3)CC2)CC1,IC50,=,43000,nM,393.531,2.8742,0,4,4.366531544,0
CHEMBL577016,CCSc1nc2sc3c(c2c(=O)n1-c1ccccc1)CCN(Cc1ccccc1)C3,IC50,=,5100,nM,433.602,5.1175,0,6,5.292429824,0
CHEMBL3965046,CCN1CCN(C2CCN(C(=O)COc3ccc(-c4ccccc4)cc3)CC2)CC1,IC50,=,31000,nM,407.558,3.3609,0,4,4.508638306,0
CHEMBL1459580,O=C(COc1ccc(Cl)cc1Cl)Nc1ccc(CN2CCCCC2)cc1,IC50,=,30,nM,393.314,4.9968,1,3,7.522878745,1
CHEMBL3957099,S=C1/C(=C/c2ccccc2)Oc2ccccc21,IC50,=,6390,nM,238.311,3.8381,0,2,5.194499142,0
CHEMBL3950130,CC(C)Cc1ccc(/C=C2\Oc3ccccc3C2=O)cc1,IC50,=,980,nM,278.351,4.5013,0,2,6.008773924,0
CHEMBL611941,COc1ccc(/C=C2\Oc3ccccc3C2=O)cc1,IC50,=,1260,nM,252.269,3.3114,0,3,5.899629455,0
CHEMBL3921061,CN(C)C(=O)Oc1cccc(C(=O)/C=C/c2ccc(O)cc2)c1,IC50,=,870,nM,311.337,3.3487,1,4,6.060480747,0
CHEMBL3948367,COc1ccc(/C=C/C(=O)c2cccc(OC(=O)N(C)C)c2)cc1,IC50,=,8050,nM,325.364,3.6517,0,4,5.09420412,0
CHEMBL3984034,Cc1ccc(/C=C2\CN(Cc3cccc(C)c3)C/C(=C\c3ccc(C)cc3)C2=O)cc1,IC50,=,3220,nM,407.557,6.16376,0,2,5.492144128,0
CHEMBL3955393,O=C1/C(=C/c2ccccc2)CN(Cc2ccc3ccccc3c2)C/C1=C\c1ccccc1,IC50,=,1930,nM,415.536,6.3917,0,2,5.714442691,0
CHEMBL3976003,Cc1cccc(CN2C/C(=C\c3ccccc3)C(=O)/C(=C/c3ccccc3)C2)c1,IC50,=,3180,nM,379.503,5.54692,0,2,5.49757288,0
CHEMBL3928840,Cc1ccc(/C=C2\CN(Cc3ccc4ccccc4c3)C/C(=C\c3ccc(C)cc3)C2=O)cc1,IC50,=,1590,nM,443.59,7.00854,0,2,5.798602876,0
CHEMBL3983017,O=C1/C(=C/c2ccc(Br)cc2)CN(Cc2ccc3ccccc3c2)C/C1=C\c1ccc(Br)cc1,IC50,=,830,nM,573.328,7.9167,0,2,6.080921908,0
CHEMBL3901794,Cc1ccc(/C=C2/CNCC3=C2N=C2SC=C(c4ccc(C)cc4)N2C3c2ccc(C)cc2)cc1,IC50,=,1800,nM,475.661,7.01086,1,4,5.744727495,0
CHEMBL3972865,Cc1ccc(/C=C2/CNCC3=C2N=C2SC=C(c4ccc(Br)cc4)N2C3c2ccc(C)cc2)cc1,IC50,=,2270,nM,540.53,7.46494,1,4,5.643974143,0
CHEMBL3910830,Cc1ccc(/C=C2/CNCC3=C2N=C2SC=C(c4ccc5ccccc5c4)N2C3c2ccc(C)cc2)cc1,IC50,=,980,nM,511.694,7.85564,1,4,6.008773924,0
CHEMBL3945423,Cc1ccc(C2=CSC3=NC4=C(CNC/C4=C/c4ccc(Cl)cc4)C(c4ccc(Cl)cc4)N23)cc1,IC50,=,1090,nM,516.497,7.70082,1,4,5.962573502,0
CHEMBL3958208,Brc1ccc(/C=C2/CNCC3=C2N=C2SC=C(c4ccccc4)N2C3c2ccc(Br)cc2)cc1,IC50,=,1480,nM,591.372,7.6106,1,4,5.829738285,0
CHEMBL3921785,Cc1ccc(C2=CSC3=NC4=C(CNC/C4=C/c4ccc(Br)cc4)C(c4ccc(Br)cc4)N23)cc1,IC50,=,1010,nM,605.399,7.91902,1,4,5.995678626,0
CHEMBL3884988,O=S(=O)(c1ccccc1)n1ccc2c(N3CCN(CCNc4c5c(nc6ccccc46)CCCC5)CC3)cccc21,IC50,=,43.6,nM,565.743,5.5394,1,7,7.360513511,1
CHEMBL3884618,O=S(=O)(c1ccccc1)n1ccc2c(N3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)cccc21,IC50,=,9.7,nM,579.77,5.9295,1,7,8.013228266,1
CHEMBL3884858,O=S(=O)(c1ccccc1)n1ccc2c(N3CCN(CCCCCNc4c5c(nc6ccccc46)CCCC5)CC3)cccc21,IC50,=,18.2,nM,607.824,6.7097,1,7,7.739928612,1
CHEMBL3885186,O=S(=O)(c1ccccc1)n1ccc2c(N3CCN(CCCCCCNc4c5c(nc6ccccc46)CCCC5)CC3)cccc21,IC50,=,12.9,nM,621.851,7.0998,1,7,7.88941029,1
CHEMBL3884690,O=S(=O)(c1ccccc1)n1ccc2c(N3CCN(CCCCCCCNc4c5c(nc6ccccc46)CCCC5)CC3)cccc21,IC50,=,6.2,nM,635.878,7.4899,1,7,8.207608311,1
CHEMBL3883432,O=S(=O)(c1ccccc1)n1ccc2c(N3CCN(CCCCCCCCNc4c5c(nc6ccccc46)CCCC5)CC3)cccc21,IC50,=,1.3,nM,649.905,7.88,1,7,8.886056648,1
CHEMBL3971112,O=C1NCCCc2c1c1ccccc1n2CCc1ccccc1,IC50,=,12600,nM,304.393,3.56,1,2,4.899629455,0
CHEMBL3919289,O=C1NCCCc2c1c1ccccc1n2CCc1ccc(F)cc1,IC50,=,10000,nM,322.383,3.6991,1,2,5,0
CHEMBL3922423,O=C1c2ccccc2S(=O)(=O)N1CCCCCNCc1ccccc1,IC50,=,33,nM,358.463,2.7912,1,4,7.48148606,1
CHEMBL3892148,COc1ccc2nc(NCCc3cc[n+](Cc4ccccc4)cc3)sc2c1,IC50,=,186,nM,376.505,4.2953,1,4,6.730487056,0
